,該年排名,片名,link,產地,發行商,票房（港元）,2023dollars,
2004,2,見習黑玫瑰,https://zh.wikipedia.org/wiki/%E8%A6%8B%E7%BF%92%E9%BB%91%E7%8E%AB%E7%91%B0,香港,寰宇娛樂文化,"$10,153,322",65.6,"$154,776"
1998,4,九星報喜,,香港,東方電影,"$10,032,470",76.7,"$130,801"
2000,4,大贏家,https://zh.wikipedia.org/wiki/%E5%A4%A7%E8%B4%8F%E5%AE%B6,香港,東方電影,"$10,030,582",70.9,"$141,475"
2006,3,最愛女人購物狂,https://zh.wikipedia.org/wiki/%E6%9C%80%E6%84%9B%E5%A5%B3%E4%BA%BA%E8%B3%BC%E7%89%A9%E7%8B%82,香港,中國星集團,"$9,867,717",67.6,"$145,972"
2010,3,蘇乞兒,https://zh.wikipedia.org/wiki/%E8%98%87%E4%B9%9E%E5%85%92_(2010%E5%B9%B4%E9%9B%BB%E5%BD%B1),中國大陸,安樂影片,"$9,792,611",74,"$132,333"
1993,7,東方三俠,https://zh.wikipedia.org/wiki/%E6%9D%B1%E6%96%B9%E4%B8%89%E4%BF%A0,香港,金聲院線,"$9,537,175",55.9,"$170,611"
1993,8,新流星蝴蝶劍,https://zh.wikipedia.org/wiki/%E6%96%B0%E6%B5%81%E6%98%9F%E8%9D%B4%E8%9D%B6%E5%8A%8D,香港,永高院線,"$9,167,960",55.9,"$164,006"
2018,4,西遊記·女兒國,https://zh.wikipedia.org/wiki/%E8%A5%BF%E6%B8%B8%E8%AE%B0%C2%B7%E5%A5%B3%E5%84%BF%E5%9B%BD,中國大陸、香港,星皓影業,"$9,130,907",96.8,"$94,328"
2019,5,你咪理，我愛你！,https://zh.wikipedia.org/wiki/%E4%BD%A0%E5%92%AA%E7%90%86%EF%BC%8C%E6%88%91%E7%88%B1%E4%BD%A0%EF%BC%81,香港,高先電影,"$8,947,057",99.6,"$89,830"
1999,3,愛情夢幻號,https://zh.wikipedia.org/wiki/%E6%84%9B%E6%83%85%E5%A4%A2%E5%B9%BB%E8%99%9F,香港,東方電影,"$8,893,155",73.6,"$120,831"
2008,2,功夫灌籃,https://zh.wikipedia.org/wiki/%E5%8A%9F%E5%A4%AB%E7%81%8C%E7%B1%83,中國大陸、香港,新寶院線,"$8,786,482",71.9,"$122,204"
2011,4,神奇俠侶,https://zh.wikipedia.org/wiki/%E7%A5%9E%E5%A5%87%E4%BE%A0%E4%BE%A3,香港,我們發行,"$8,220,252",77.9,"$105,523"
1991,8,洪福齊天,https://zh.wikipedia.org/wiki/%E6%B4%AA%E7%A6%8F%E9%BD%8A%E5%A4%A9,香港,新寶院線,"$7,895,305",46.9,"$168,343"
2007,2,心想事成,https://zh.wikipedia.org/wiki/%E5%BF%83%E6%83%B3%E4%BA%8B%E6%88%90,香港,新寶院線,"$7,792,241",68.9,"$113,095"
1995,5,富貴人間,https://zh.wikipedia.org/wiki/%E5%AF%8C%E8%B2%B4%E4%BA%BA%E9%96%93,香港,新一代 (香港),"$7,670,796",66.3,"$115,698"
1989,5,福星臨門,,香港,,"$7,666,600",38.2,"$200,696"
2010,4,錦衣衛,https://zh.wikipedia.org/wiki/%E9%8C%A6%E8%A1%A3%E8%A1%9B_(2010%E5%B9%B4%E9%9B%BB%E5%BD%B1),中國大陸,嘉樂影片發行,"$7,649,824",74,"$103,376"
1993,9,黃飛鴻之鬼腳七,,香港,永高院線,"$7,606,886",55.9,"$136,080"
2005,2,韓城攻略,https://zh.wikipedia.org/wiki/%E9%9F%93%E5%9F%8E%E6%94%BB%E7%95%A5,香港,嘉樂影片發行,"$7,385,836",66.2,"$111,569"
1984,3,城市之光,,香港,邵氏兄弟,"$7,241,212",28.4,"$254,972"
2020,3,我的筍盤男友,https://zh.wikipedia.org/wiki/%E6%88%91%E7%9A%84%E7%AD%8D%E7%9B%A4%E7%94%B7%E5%8F%8B,香港,英皇電影,"$6,325,116",99.9,"$63,314"
2007,3,雙子神偷,https://zh.wikipedia.org/wiki/%E9%9B%99%E5%AD%90%E7%A5%9E%E5%81%B7,香港,安樂影片,"$6,219,594",68.9,"$90,270"
1983,3,星際鈍胎,https://zh.wikipedia.org/wiki/%E6%98%9F%E9%9A%9B%E9%88%8D%E8%83%8E,香港,邵氏兄弟,"$6,063,848",26.1,"$232,331"
1992,8,富貴黃金屋,https://zh.wikipedia.org/wiki/%E5%AF%8C%E8%B2%B4%E9%BB%83%E9%87%91%E5%B1%8B,香港,永高院線,"$5,729,846",51.3,"$111,693"
2020,4,肥龍過江,https://zh.wikipedia.org/wiki/%E8%82%A5%E9%BE%8D%E9%81%8E%E6%B1%9F,中國大陸、香港,洲立影片發行（香港）,"$5,668,042",99.9,"$56,737"
1981,2,歡樂神仙窩,https://zh.wikipedia.org/wiki/%E6%AD%A1%E6%A8%82%E7%A5%9E%E4%BB%99%E7%AA%A9,香港,金公主娛樂,"$5,109,030",21.4,"$238,740"
2023,3,1人婚禮,https://zh.wikipedia.org/wiki/1%E4%BA%BA%E5%A9%9A%E7%A6%AE,香港,高先電影,"$5,000,000",105.5,"$47,393"
2015,4,浮華宴,https://zh.wikipedia.org/wiki/%E6%B5%AE%E8%8F%AF%E5%AE%B4,香港,天馬影視文化,"$4,673,759",91,"$51,360"
2001,3,漫畫風雲,https://zh.wikipedia.org/wiki/%E6%BC%AB%E7%94%BB%E9%A3%8E%E4%BA%91,香港,星藝映畫,"$4,014,014",69.8,"$57,507"
2023,4,天龍八部之喬峰傳,https://zh.wikipedia.org/wiki/%E5%A4%A9%E9%BE%99%E5%85%AB%E9%83%A8%E4%B9%8B%E4%B9%94%E5%B3%B0%E4%BC%A0,中國大陸、香港,東方影業,"$3,863,198",105.5,"$36,618"
2004,4,飛鷹,https://zh.wikipedia.org/wiki/%E9%A3%9E%E9%B9%B0_(%E7%94%B5%E5%BD%B1),中國大陸,寰亞電影發行,"$3,391,280",65.6,"$51,696"
2017,3,我要發達,https://zh.wikipedia.org/wiki/%E6%88%91%E8%A6%81%E7%99%BC%E9%81%94,香港,無限動力實業,"$1,447,359",94.6,"$15,300"
