,該年排名,片名,link,產地,發行商,票房（港元）,2023dollars,
1993,2,城市獵人,https://zh.wikipedia.org/wiki/%E5%9F%8E%E5%B8%82%E7%8D%B5%E4%BA%BA_(1993%E5%B9%B4%E9%9B%BB%E5%BD%B1),香港,嘉樂影片發行,"$30,843,062",55.9,"$551,754"
1985,1,福星高照,https://zh.wikipedia.org/wiki/%E7%A6%8F%E6%98%9F%E9%AB%98%E7%85%A7,香港,嘉樂影片發行,"$30,748,643",29.4,"$1,045,872"
1997,3,黃飛鴻之西域雄獅,https://zh.wikipedia.org/wiki/%E9%BB%83%E9%A3%9B%E9%B4%BB%E4%B9%8B%E8%A5%BF%E5%9F%9F%E9%9B%84%E7%8D%85,香港,中國星集團,"$30,268,415",74.6,"$405,743"
2006,1,霍元甲,https://zh.wikipedia.org/wiki/%E9%9C%8D%E5%85%83%E7%94%B2_(2006%E5%B9%B4%E9%9B%BB%E5%BD%B1),中國大陸、香港,安樂影片,"$30,201,600",67.6,"$446,769"
2001,1,特務迷城,https://zh.wikipedia.org/wiki/%E7%89%B9%E5%8B%99%E8%BF%B7%E5%9F%8E,香港,嘉樂影片發行,"$30,009,076",69.8,"$429,929"
1999,1,喜劇之王,https://zh.wikipedia.org/wiki/%E5%96%9C%E5%8A%87%E4%B9%8B%E7%8E%8B_(1999%E5%B9%B4%E9%9B%BB%E5%BD%B1),香港,新寶院線,"$29,848,860",73.6,"$405,555"
2020,1,乜代宗師,https://zh.wikipedia.org/wiki/%E4%B9%9C%E4%BB%A3%E5%AE%97%E5%B8%AB,香港,高先電影,"$29,600,946",99.9,"$296,306"
1984,1,最佳拍檔之女皇密令,https://zh.wikipedia.org/wiki/%E6%9C%80%E4%BD%B3%E6%8B%8D%E6%AA%94%E4%B9%8B%E5%A5%B3%E7%9A%87%E5%AF%86%E4%BB%A4,香港,金公主娛樂,"$29,286,077",28.4,"$1,031,200"
2015,1,賭城風雲II,https://zh.wikipedia.org/wiki/%E8%B3%AD%E5%9F%8E%E9%A2%A8%E9%9B%B2II,中國大陸、香港,嘉樂影片發行,"$28,407,293",91,"$312,168"
2013,1,西遊·降魔篇,https://zh.wikipedia.org/wiki/%E8%A5%BF%E6%B8%B8%C2%B7%E9%99%8D%E9%AD%94%E7%AF%87,中國大陸、香港,安樂影片,"$28,401,227",84.6,"$335,712"
